,0,1
0,1,0
1,0,1
2,1,0
3,1,0
4,0,1
5,1,0
6,1,0
7,0,1
8,0,1
9,1,0
10,1,0
11,0,1
12,1,0
13,0,1
14,0,1
15,0,1
16,1,0
17,1,0
18,0,1
19,1,0
20,0,1
21,0,1
22,0,1
23,1,0
24,1,0
25,0,1
26,1,0
27,1,0
28,1,0
29,1,0
30,0,1
31,1,0
32,1,0
33,1,0
34,0,1
35,0,1
36,1,0
37,0,1
38,1,0
39,1,0
40,1,0
41,0,1
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,0,1
50,0,1
51,1,0
52,1,0
53,1,0
54,0,1
55,0,1
56,1,0
57,1,0
58,1,0
59,0,1
60,1,0
61,0,1
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,0,1
69,1,0
70,1,0
71,0,1
72,0,1
73,1,0
74,1,0
75,0,1
76,0,1
77,0,1
78,1,0
79,0,1
80,1,0
81,1,0
82,0,1
83,0,1
84,0,1
85,1,0
86,0,1
87,0,1
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,0,1
94,1,0
95,1,0
96,1,0
97,0,1
98,0,1
99,1,0
100,0,1
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,0
108,1,0
109,1,0
110,0,1
111,1,0
112,1,0
113,0,1
114,1,0
115,0,1
116,1,0
117,1,0
118,0,1
119,1,0
120,1,0
121,1,0
122,0,1
123,1,0
124,0,1
125,1,0
126,0,1
127,1,0
128,0,1
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,0,1
140,1,0
141,1,0
142,1,0
143,1,0
144,0,1
145,1,0
146,0,1
147,0,1
148,0,1
149,0,1
150,0,1
151,1,0
152,1,0
153,1,0
154,1,0
155,0,1
156,0,1
157,1,0
158,1,0
159,1,0
160,0,1
161,1,0
162,1,0
163,1,0
164,0,1
165,1,0
166,1,0
167,1,0
168,0,1
169,1,0
170,0,1
171,1,0
172,1,0
173,0,1
174,0,1
175,0,1
176,1,0
177,1,0
178,1,0
179,0,1
180,0,1
181,1,0
182,1,0
183,1,0
184,1,0
185,0,1
186,1,0
187,1,0
188,1,0
189,0,1
190,1,0
191,0,1
192,1,0
193,1,0
194,1,0
195,0,1
196,0,1
197,0,1
198,1,0
199,1,0
200,0,1
201,1,0
202,1,0
203,0,1
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,0,1
210,0,1
211,0,1
212,1,0
213,1,0
214,1,0
215,0,1
216,1,0
217,1,0
218,0,1
219,0,1
220,1,0
221,1,0
222,1,0
223,0,1
224,1,0
225,0,1
226,1,0
227,1,0
228,1,0
229,0,1
230,1,0
231,0,1
232,1,0
233,0,1
234,0,1
235,1,0
236,1,0
237,1,0
238,0,1
239,0,1
240,1,0
241,1,0
242,1,0
243,1,0
244,1,0
245,0,1
246,1,0
247,0,1
248,0,1
249,1,0
250,0,1
251,1,0
252,0,1
253,1,0
254,1,0
255,0,1
256,1,0
257,0,1
258,1,0
259,1,0
260,1,0
261,1,0
262,0,1
263,1,0
264,0,1
265,1,0
266,0,1
267,0,1
268,0,1
269,0,1
270,1,0
271,1,0
272,1,0
273,1,0
274,1,0
275,1,0
276,1,0
277,1,0
